ID,Title,Author,Price & Format,,,,Overall Raiting,# of Reviews,Published Date,ISBN,Publisher,Genres,Language,Book Page,Rank
,,,Hard Copy,Paper Copy,eBook,Audio CD,,,,,,,,,
1,Oath and Honor: A Memoir and a Warning,Liz Cheney,$29.25,$16.99,,$45.00,3.9,11,2023-12-05,9781668640449,"Little, Brown and Company",Non-fiction,English,384,1
2,The Heaven & Earth Grocery Store,James McBride,$25.20,,$14.99,$45.00,5,16,2023-08-08,9780593422946,Penguin Publishing Group,Fiction,Englsih,400,2
3,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,$27.00,,$14.99,$40.00,4.5,20,2023-04-18,9780385534260,Knopf Doubleday Publishing Group,Historical,English,352,3
4,"Friends, Lovers, and the Big Terrible Thing: A Memoir",Matthew Perry,$23.99,$18.99,$14.00,$39.99,4.5,24,2022-11-01,9781250866448,Flatiron Books,Biography,English,250,4
5,From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen,"Snoop Dogg, Ryan Ford, Martha Stewart",$24.95,,$15.99,,5,3,2018-10-23,9781452179612,Chronicle Books,Cooking,English,192,5
6,Don't Let the Pigeon Drive the Sleigh!,Mo Willems,$18.99,,,,4.7,3,2023-09-05,9781454952770,Union Square Kids,Fiction,English,40,6
7,The Hunger Games 4-Book Paperback Box Set,Suzanne Collins,$61.96,,,,0,0,2023-10-03,9781339042657,"Scholastic, Inc.",Science Fiction,English,1712,7
8,House of Earth and Blood (Crescent City Series #1),Sarah J. Maas,$32.00,$19.00,$15.20,$34.99,4.7,156,2023-09-26,9781639733286,Bloomsbury USA,Romance,English,832,8
9,The Ballad of Songbirds and Snakes,Suzanne Collins,$27.99,$16.99,$10.99,$49.99,4.2,81,2020-05-19,9781338635171,"Scholastic, Inc.",Science Fiction,English,528,9
10,Fourth Wing,Rebecca Yarros,$29.99,,$14.99,,4.7,245,2023-05-02,9781649374042,"Entangled Publishing, LLC",Fantasy,English,500,10
11,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,$35.00,$14.99,$13.99,$19.99,4.3,126,2018-04-03,9780307742483,Knopf Doubleday Publishing Group,Historical,English,416,11
12,House of Flame and Shadow (Crescent City Series #3),Sarah J. Maas,$32.00,,,$22.40,5,1,2024-01-30,9781681193090,Bloomsbury Publishing,Fantasy,English,171,12
13,The Berry Pickers,Amanda Peters,$27.00,,$14.99,,4.8,8,2023-10-31,9781646221950,Catapult,Mystery Thriller,English,320,13
14,Powerless,Lauren Roberts,$19.99,,$10.99,,4.5,30,2023-11-07,9781665954907,Simon & Schuster Books For Young Readers,Young Adult,English,528,14
15,North Woods,Daniel Mason,$28.00,,$13.99,,4.4,16,2023-09-19,9780593597033,Random House Publishing Group,Fiction,English,384,15
16,Iron Flame,Rebecca Yarros,$29.99,,$14.99,,4.3,82,2023-11-07,9781649374172,"Entangled Publishing, LLC",Fantasy,English,640,16
17,All the Light We Cannot See,Anthony Doerr,$32.50,$18.99,$14.99,$19.99,4.4,816,2017-04-04,9781508239789,Simon & Schuster Audio,Historical,English,,17
18,Apprentice to the Villain,Hannah Nicole Maehrer,,$19.99,$12.99,,4.7,51,2024-08-06,9781649377173,"Entangled Publishing, LLC",Horror,English,352,18
19,Taylor Swift: A Little Golden Book Biography,"Wendy Loggia, Elisa Chavarri",$5.99,$5.99,,,5,2,2023-05-02,9780593566725,Random House Children's Books,Non-fiction,English,24,19
20,House of Sky and Breath (Crescent City Series #2),Sarah J. Maas,$21.99,$19.00,,,4.5,41,2023-09-26,9781639732876,Bloomsbury USA,Fantasy,English,801,20
21,Jujutsu Kaisen Box Set Vols. 1-4,Gege Akutami,,$39.96,,,5,3,2022-11-29,9781974737109,VIZ Media LLC,Action,English,,21
22,"Elementary to Impossible Mysteries to Solve Using Logic, Skill, and the Power of Deduction",G. T. Karber,,$16.00,,,4.9,8,2023-06-13,9781250892317,St. Martin's Publishing Group,Mystery Thriller,English,384,22
23,One Dark Window,Rachel Gillig,,$18.99,$6.99,,4.9,45,2022-09-27,9780316312486,Orbit,Romance,English,432,23
24,My Name Is Barbra,Barbra Streisand,$47.00,,$18.99,,5,9,2023-11-07,9780525429524,Penguin Publishing Group,Biography,English,992,24
25,The Exchange: After The Firm,John Grisham,$29.95,$19.99,$14.99,$45.00,3.4,50,2023-10-17,9798855677119,Barnes & Noble Press,Thriller,English,154,25
26,The Fraud: A Novel,Zadie Smith,$29.00,,$14.99,,3,1,2023-09-05,9780525558965,Penguin Publishing Group,Historical,English,464,26
27,Murtagh: The World of Eragon,Christopher Paolini,$29.99,,$14.99,$50.00,4.3,12,2023-11-07,9780593650882,Random House Children's Books,Young Adult,English,704,27
28,The Chalice of the Gods,Rick Riordan,$19.99,,$10.99,,4.6,10,2023-09-26,9781368098175,	Disney Publishing Group,Mythology,English ,288,28
29,Taylor Swift: A Little Golden Book Biography,"Wendy Loggia, Elisa Chavarri",$5.99,$5.99,,,5,2,2023-05-02,9780593566725,Random House Children's Books,Non-fiction,English,24,19
30,The Covenant of Water,Abraham Verghese,$32.00,,$28.00,,4.3,26,2023-05-02,9780802162182,"Grove/Atlantic, Inc.",Fiction,English,736,30
31,The Christmas Owl: Based on the True Story of a Little Owl Named Rockefeller,"Gideon Sterer, Ellen Kalish, Ramona Kaulitzki",$19.99,,,,5,3,2023-10-17,9780316571548,"Little, Brown Books for Young Readers",Children,English,40,31
32,"Ghosts of Honolulu: A Japanese Spy, a Japanese American Spy Hunter, and the Untold Story of Pearl Harbor","Mark Harmon, Leon Carroll",$29.99,,$14.99,,5,1,2023-11-14,9781400337026,Harper Select,Non-fiction,English,272,32
33,Scott Pilgrim Vol. 1: Scott Pilgrim's Precious Little Life,Bryan Lee O'Malley,$24.99,$14.99,$11.49,,4.8,50,2004-08-14,9781932664089,Oni Press,Comic,English,168,33
34,The Woman in Me,Britney Spears,$32.99,,$16.99,$32.99,4.7,62,2023-10-24,9781668009062,Gallery Books,Biography,English,288,34
35,Prophet Song,Paul Lynch,$26.00,$26.00,,$39.99,5,4,2023-12-05,9780802163011,"Grove/Atlantic, Inc.",Science Fiction,English,320,35
36,Holly,Stephen King,$30.00,,$14.99,$44.99,3.6,43,2023-09-05,9781668014950,Scribner,Horror,English,464,36
37,"Heartstopper, Volume 5","Alice Oseman, Alice Oseman",$25.99,$15.99,$9.99,,5,2,2023-12-19,9781338807509,"Scholastic, Inc.",Comic,English,336,37
38,Icebreaker (Maple Hills Series #1),Hannah Grace,,$17.99,$10.99,,4.5,66,2023-02-07,9781668026045,Atria Books,Romance,English,448,38
39,Prequel: An American Fight Against Fascism,Rachel Maddow,$32.00,$14.99,,$45.00,5,3,2023-10-17,9780593444528,Crown Publishing Group,Historical,English,416,39
40,Alex Cross Must Die: A Thriller,James Patterson,$30.00,$14.99,,$45.00,4.7,3,2023-11-20,9780316402484,"Little, Brown and Company",Thriller,English,416,40
41,The Edge,David Baldacci,$30.00,,$14.99,$50.00,4.7,7,2023-11-14,9781538719916,Grand Central Publishing,Thriller,English,416,41
42,"The Kingdom, the Power, and the Glory: American Evangelicals in an Age of Extremism",Tim Alberta,$35.00,,$17.99,$51.90,0,0,2023-12-05,9780063226883,HarperCollins Publishers,Politic,English,512,42
43,"The Wingmen: The Unlikely, Unusual, Unbreakable Friendship between John Glenn and Ted Williams",Adam Lazarus,$29.00,,$14.99,,5,32,2023-08-22,9780806542508,Kensington,Historical,English,304,43
44,No Brainer (Diary of a Wimpy Kid Series #18),Jeff Kinney,$14.99,,$13.49,$31.95,5,3,2023-10-24,9781419766947,Amulet Books,Children,English,224,44
45,Apprentice to the Villain,Hannah Nicole Maehrer,,$19.99,$12.99,,4.7,51,2024-08-06,9781649377173,"Entangled Publishing, LLC",Horror,English,352,18
46,The Thursday Murder Club (Series #1),Richard Osman,,$18.99,$12.99,,4.3,73,2021-08-03,9781984880987,Penguin Publishing Group,Mystery,English,384,46
47,The Creative Act: A Way of Being,Rick Rubin,$32.00,,$16.99,,5,7,2023-11-24,9780593657621,Penguin Publishing Group,Non-fiction,English,432,47
48,A Little Life,Hanya Yanagihara,$18.00,,$13.99,,4.5,96,2016-01-06,9780804172707,Knopf Doubleday Publishing Group,Fiction,English,832,48
49,Cooking with the Grinch (Dr. Seuss),"Tish Rabe, Tom Brannon",,$5.99,,,5,1,2017-09-05,9781524714628,Random House Children's Books,Children,English,32,49
50,"Invincible Compendium, Volume 1","Robert Kirkman, Cory Walker, Ryan Ottley",,$64.99,$39.99,,5,2,2011-08-30,9781632151537,Image Comics,Comic,English,1042,50
51,Spy School (Series #1),Stuart Gibbs,$18.99,$8.99,$8.99,$29.99,4.5,118,2013-04-02,9781442421837,Simon & Schuster Books For Young Readers,Children,English,290,51
52,The Rediscovery of America: Native Peoples and the Unmaking of U.S. History,Ned Blackhawk,$35.00,,$35.00,,0,0,2023-04-25,9780300271249,Yale University Press,Historical,English,576,52
53,Fazbear Frights Four Book Box Set (Five Nights at Freddy's),"Scott Cawthon, Elley Cooper, Carly Anne West, Andrea Waggener, Kelly Parra",,$39.96,,,0,0,2020-09-01,9781338715804,"Scholastic, Inc.",Horror,English,1984,53
54,Elmore the Christmas Moose,"Dev Petty, Mike Boldt",$18.99,,,,5,8,2023-10-24,9780593707456,Random House,Children,English,,54
55,The Great Disappearance: 31 Ways to be Rapture Ready,David Jeremiah,$29.99,,$14.99,,5,3,2023-10-03,9780785252245,"Nelson, Thomas, Inc.",Religion,English,320,55
56,How the Grinch Stole Christmas!,Dr. Seuss,$16.99,,$10.99,,4.5,54,1957-10-12,9780394800790,Random House Children's Books,Children,English,64,56
57,Poor Charlie's Almanack: The Essential Wit and Wisdom of Charles T. Munger,Charles T. Munger,$30.00,,,,0,0,2023-12-05,9781953953230,"Stripe Matter, Inc.",Business,English,384,57
